p_slowdown,v_max,critical_density
0.4482758620689655,4,[0.41379310344827586]
0.48275862068965514,4,[0.3448275862068966]
0.5172413793103449,4,[0.06896551724137931]
0.5517241379310345,4,[0.20689655172413793]
0.5862068965517241,4,[0.13793103448275862]
0.6206896551724138,4,[0.10344827586206896]
0.6551724137931034,4,[0.27586206896551724]
0.6896551724137931,4,[0.06896551724137931]
0.7241379310344828,4,[0.3448275862068966]
0.7586206896551724,4,[0.06896551724137931]
0.7931034482758621,4,[0.20689655172413793]
0.8275862068965517,4,[0.3103448275862069]
0.8620689655172413,4,[0.3103448275862069]
0.896551724137931,4,[0.13793103448275862]
0.9310344827586207,4,[0.06896551724137931]
0.9655172413793103,4,[0.3448275862068966]
1.0,4,[0.13793103448275862]
0.0,5,[0.3793103448275862]
0.034482758620689655,5,[0.24137931034482757]
0.06896551724137931,5,[0.24137931034482757]
0.10344827586206896,5,[0.3103448275862069]
0.13793103448275862,5,[0.3103448275862069]
0.1724137931034483,5,[0.24137931034482757]
0.20689655172413793,5,[0.3103448275862069]
0.24137931034482757,5,[0.3448275862068966]
0.27586206896551724,5,[0.24137931034482757]
0.3103448275862069,5,[0.034482758620689655]
0.3448275862068966,5,[0.13793103448275862]
0.3793103448275862,5,[0.3448275862068966]
0.41379310344827586,5,[0.27586206896551724]
0.4482758620689655,5,[0.10344827586206896]
0.48275862068965514,5,[0.24137931034482757]
0.5172413793103449,5,[0.10344827586206896]
0.5517241379310345,5,[0.27586206896551724]
0.5862068965517241,5,[0.10344827586206896]
0.6206896551724138,5,[0.24137931034482757]
0.6551724137931034,5,[0.06896551724137931]
0.6896551724137931,5,[0.1724137931034483]
0.7241379310344828,5,[0.20689655172413793]
0.7586206896551724,5,[0.06896551724137931]
0.7931034482758621,5,[0.1724137931034483]
0.8275862068965517,5,[0.24137931034482757]
0.8620689655172413,5,[0.1724137931034483]
0.896551724137931,5,[0.20689655172413793]
0.9310344827586207,5,[0.20689655172413793]
0.9655172413793103,5,[0.3103448275862069]
1.0,5,[0.1724137931034483]
